Sex,Age,Citizenship,2007 January,2007 February,2007 March,2007 April,2007 May,2007 June,2007 July,2007 August,2007 September,2007 October,2007 November,2007 December,2008 January,2008 February,2008 March,2008 April,2008 May,2008 June,2008 July,2008 August,2008 September,2008 October,2008 November,2008 December,2009 January,2009 February,2009 March,2009 April,2009 May,2009 June,2009 July,2009 August,2009 September,2009 October,2009 November,2009 December,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January**,2012 February**,2012 March**,2012 April**,2012 May**,2012 June**,2012 July**,2012 August**,2012 September**,2012 October**,2012 November**,2012 December**,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January*,2015 February*,2015 March*,2015 April*,2015 May*,2015 June*,2015 July*,2015 August*,2015 September*,2015 October*,2015 November*
Male,Total age,Afghan,35,25,20,30,35,45,30,20,30,25,30,15,40,35,20,30,20,35,40,45,35,65,50,70,85,95,105,100,65,75,45,70,60,90,95,120,145,95,90,55,60,80,50,65,105,95,125,105,70,95,140,100,130,160,150,175,160,160,160,105,130,100,140,110,80,85,95,80,60,105,70,65,90,70,80,85,95,75,90,65,65,85,70,50,55,55,45,55,30,50,40,45,50,50,55,40,45,45,45,55,45,50,65,110,120,335,665
Male,Total age,Albanian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,5,0,0,5,0,5,5,0,5,10,5,0,5,5,5,5,5,10,5,10,5,10,10,10,20,30,50,60,110,165,100
Male,Total age,Armenian,15,15,5,5,5,5,5,5,10,10,5,10,10,15,5,5,5,5,15,15,15,20,10,10,10,15,5,5,20,20,5,20,25,30,15,20,30,35,25,20,10,30,10,30,40,40,35,35,25,15,35,20,25,30,20,35,30,25,25,30,20,35,15,10,10,5,10,15,5,25,20,10,15,10,5,10,15,10,10,5,5,15,10,10,15,10,5,15,10,10,15,5,10,5,10,10,0,5,5,5,0,5,0,5,5,10,5
Male,Total age,Azerbaijani,5,10,5,0,5,5,0,5,5,0,0,0,10,5,0,5,0,5,5,5,10,5,5,5,5,10,5,5,5,5,10,0,5,10,15,5,10,5,5,5,0,5,5,5,5,10,5,5,10,10,5,5,0,10,5,5,20,10,5,5,15,0,10,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,0,0,5,5,5
Male,Total age,Bosnian,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,20,0,0,0,5,5,0,0,10,5,5,5,15,0,5,5,10,10,5,5,5,10,5,5,10,10,5,5,5,5,5,0,5,0,5,0,10,10
Male,Total age,Burundian,10,10,15,10,5,5,5,10,5,5,0,5,5,5,5,5,5,5,5,15,10,10,10,5,0,10,5,0,0,5,5,5,0,5,5,0,5,0,0,5,0,5,5,0,0,5,0,5,0,0,5,0,0,0,0,5,0,0,5,0,5,10,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,5
Male,Total age,Chinese,15,20,10,10,15,15,20,15,15,10,15,10,10,15,55,140,100,15,10,5,10,10,20,10,20,5,15,15,10,20,5,15,10,25,25,15,15,20,15,15,15,25,15,20,15,25,10,5,10,15,15,15,15,15,20,20,15,20,10,15,15,25,15,5,10,10,5,10,10,10,10,5,5,5,10,10,5,5,0,10,10,5,0,10,5,5,5,5,5,5,5,5,5,5,5,5,5,25,10,5,5,15,0,0,5,5,10
Male,Total age,Congolese,5,5,0,0,5,0,10,5,0,5,5,0,5,0,0,0,0,5,5,5,10,10,5,0,0,10,5,5,10,0,5,0,0,5,5,5,5,5,5,5,5,0,5,10,10,0,10,5,5,5,5,0,0,5,0,5,5,5,10,10,5,5,5,5,10,5,5,5,10,10,10,10,0,10,5,5,5,5,5,5,5,10,0,5,10,0,5,0,0,5,0,5,5,5,5,5,0,0,5,5,0,5,0,0,0,0,0
Male,Total age,Egyptian,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,5,5,0,5,0,5,0,5,5,5,5,5,5,5,0,0,0,5,10,0,0,0,5,5,5,5,0,0,5,5,5,5,5,5,0,0,5,15,5,10,5,10,10,10,15,5,5,5,35,25,15,15,20,20,15,20,10,15,20,10,20,10,10,10,15,10,10,10,5,5,5,10,5,5,5,10,10,10,5,5,5,10,5,5,5,5
Male,Total age,Eritrean,10,5,5,0,10,5,5,10,5,10,15,5,10,15,10,5,5,10,5,15,15,20,15,20,15,20,20,30,15,25,30,20,50,50,30,30,25,15,10,15,10,30,10,25,20,20,30,15,15,30,15,5,30,40,30,25,20,25,15,20,25,15,25,10,20,25,10,15,15,25,15,20,30,30,20,15,10,15,50,85,85,125,90,65,125,55,75,860,1430,140,80,50,55,50,35,25,15,15,60,255,735,845,670,825,485,630,180
